sourceLoc,source_switch,soundLoc,sound_switch,hazard,hazard_switch,isCatch
right,False,right,False,0.1,False,0
right,False,right,False,0.1,False,0
right,False,right,False,0.1,False,1
right,False,right,False,0.1,False,0
right,False,right,False,0.1,False,0
right,False,right,False,0.1,False,0
right,False,right,False,0.1,False,0
right,False,right,False,0.1,False,0
right,False,right,False,0.1,False,0
right,False,right,False,0.1,False,0
right,False,right,False,0.1,False,0
right,False,right,False,0.1,False,0
right,False,right,False,0.1,False,0
right,False,left,True,0.1,False,0
right,False,right,True,0.1,False,0
left,True,left,True,0.1,False,0
left,False,left,False,0.1,False,1
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,1
left,False,left,False,0.1,False,0
left,False,right,True,0.1,False,0
left,False,right,False,0.1,False,0
left,False,left,True,0.1,False,0
right,True,right,True,0.1,False,0
right,False,right,False,0.1,False,0
right,False,right,False,0.1,False,0
right,False,right,False,0.1,False,0
right,False,left,True,0.1,False,0
right,False,right,True,0.1,False,0
right,False,right,False,0.1,False,0
right,False,right,False,0.1,False,0
right,False,right,False,0.1,False,0
right,False,left,True,0.1,False,0
right,False,left,False,0.1,False,0
right,False,right,True,0.1,False,0
right,False,right,False,0.1,False,0
left,True,left,True,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,right,True,0.1,False,0
left,False,left,True,0.1,False,0
left,False,left,False,0.1,False,0
left,False,right,True,0.1,False,0
left,False,left,True,0.1,False,0
left,False,right,True,0.1,False,0
left,False,left,True,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
right,True,right,True,0.1,False,0
right,False,right,False,0.1,False,0
right,False,right,False,0.1,False,0
left,True,left,True,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,1
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,right,True,0.1,False,0
left,False,left,True,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,right,True,0.1,False,0
left,False,left,True,0.1,False,0
left,False,left,False,0.1,False,0
left,False,right,True,0.1,False,0
left,False,left,True,0.1,False,0
left,False,right,True,0.1,False,0
left,False,left,True,0.1,False,0
left,False,left,False,0.1,False,0
left,False,right,True,0.1,False,0
left,False,left,True,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,left,False,0.1,False,0
left,False,right,True,0.1,False,0
